epoch_loss,train_score,test_score
1.79775463617765,0.5815285624607659,0.5586942875078468
0.8651716434038602,0.8280759573132455,0.8132454488386692
0.41851167724682736,0.9033270558694287,0.9030131826741996
0.2507938960423836,0.941541117388575,0.935969868173258
0.1524361354800371,0.9481324544883867,0.9340866290018832
0.10772454050871041,0.9739485247959824,0.9623352165725048
0.07284166291356087,0.9806183301946014,0.9695543000627747
0.055703217593523174,0.9853264281230383,0.9682988072818581
0.040965866727324635,0.9861895794099184,0.9723791588198368
0.03222432689597973,0.9927024482109228,0.9795982423101067
0.03311902155669836,0.9845417451349655,0.9676710608913999
0.04415082673613842,0.9876020087884495,0.9736346516007532
0.026400046208156988,0.9912115505335845,0.9783427495291902
0.022408817393275406,0.992467043314501,0.980225988700565
0.014485484132399926,0.9959981167608286,0.9865034526051475
0.013903128914535046,0.992467043314501,0.9817953546767106
0.015374905250679988,0.9960765850596359,0.985247959824231
0.007394922270367925,0.9978028876333961,0.9893283113622097
0.005637676562540806,0.9995291902071564,0.9887005649717514
0.0032994473496308695,0.9978813559322034,0.9880728185812931
0.002987308642612054,0.9989799121155053,0.9880728185812931
0.001756828049950015,1.0,0.9918392969240427
0.0012417911113096545,0.9995291902071564,0.9915254237288136
0.0018205648811999708,0.9999215317011927,0.9915254237288136
0.0006728535047911394,1.0,0.9921531701192718
0.00039186059998778196,1.0,0.9912115505335845
0.00020579690149483772,1.0,0.9918392969240427
0.0001340489218889091,1.0,0.9921531701192718
0.00010669876064639539,1.0,0.9918392969240427
9.011815284163906e-05,1.0,0.9918392969240427
8.366115350956813e-05,1.0,0.9918392969240427
7.721193273587582e-05,1.0,0.9921531701192718
7.209453514615934e-05,1.0,0.9918392969240427
6.683465919475286e-05,1.0,0.9921531701192718
6.400187983392522e-05,1.0,0.9921531701192718
6.136213442704712e-05,1.0,0.9921531701192718
5.66751158867891e-05,1.0,0.9918392969240427
5.543033610312985e-05,1.0,0.9921531701192718
5.1388699900529063e-05,1.0,0.9921531701192718
4.990253980325248e-05,1.0,0.9921531701192718
4.843328175551366e-05,1.0,0.9921531701192718
4.532601283594536e-05,1.0,0.9921531701192718
4.4742637468376554e-05,1.0,0.9921531701192718
4.2234950692195875e-05,1.0,0.9921531701192718
4.153751447469963e-05,1.0,0.9921531701192718
4.0441152612821985e-05,1.0,0.9921531701192718
3.876613090352084e-05,1.0,0.9921531701192718
3.7907049632989445e-05,1.0,0.9921531701192718
3.534922927009085e-05,1.0,0.9921531701192718
3.361030240529754e-05,1.0,0.9921531701192718
3.365970014084059e-05,1.0,0.9921531701192718
3.210676872046091e-05,1.0,0.9921531701192718
3.0491195082924187e-05,1.0,0.9921531701192718
